group,probability,response,synset,top posts,top prods
early,0.5107114960751317,incorrect,orange.n.01,"[0.49, 0.2, 0.05, 0.04, 0.03]","['orange.n.01', 'apple.n.01', 'fruit.n.01', 'juice.n.01', 'banana.n.02']"
early,0.41194054187233764,incorrect,shirt.n.01,"[0.59, 0.04, 0.03, 0.03, 0.03]","['shirt.n.01', 'trouser.n.01', 'jacket.n.01', 'short_pants.n.01', 'hat.n.01']"
early,0.21855516038090372,incorrect,train.n.01,"[0.78, 0.06, 0.04, 0.02, 0.01]","['train.n.01', 'car.n.01', 'bus.n.01', 'truck.n.01', 'bicycle.n.01']"
early,0.4842330644846109,incorrect,trouser.n.01,"[0.52, 0.15, 0.03, 0.01, 0.01]","['trouser.n.01', 'shirt.n.01', 'short_pants.n.01', 'shoe.n.01', 'diaper.n.01']"
late,0.4320972863291121,correct,beet.n.02,"[0.43, 0.16, 0.06, 0.05, 0.03]","['beet.n.02', 'carrot.n.03', 'apple.n.01', 'potato.n.01', 'bean.n.01']"
late,0.5254158851325254,correct,bus.n.01,"[0.53, 0.19, 0.1, 0.07, 0.01]","['bus.n.01', 'car.n.01', 'train.n.01', 'truck.n.01', 'bag.n.04']"
late,0.12030368478380053,correct,celery.n.02,"[0.12, 0.11, 0.11, 0.11, 0.07]","['celery.n.02', 'bean.n.01', 'apple.n.01', 'carrot.n.03', 'beet.n.02']"
late,0.32507910699032516,correct,elk.n.01,"[0.33, 0.14, 0.08, 0.07, 0.05]","['elk.n.01', 'deer.n.01', 'cow.n.01', 'animal.n.01', 'sheep.n.01']"
late,0.35606137131999843,correct,fox.n.01,"[0.36, 0.11, 0.08, 0.05, 0.04]","['fox.n.01', 'dog.n.01', 'animal.n.01', 'cat.n.01', 'kitty.n.04']"
late,0.25381149795466795,correct,hippopotamus.n.01,"[0.25, 0.23, 0.12, 0.05, 0.03]","['hippopotamus.n.01', 'elephant.n.01', 'animal.n.01', 'hog.n.03', 'giraffe.n.01']"
late,0.2521345225998592,correct,motorcycle.n.01,"[0.33, 0.29, 0.25, 0.02, 0.01]","['car.n.01', 'bicycle.n.01', 'motorcycle.n.01', 'truck.n.01', 'wheel.n.01']"
late,0.23846283380310565,correct,raccoon.n.02,"[0.24, 0.17, 0.05, 0.05, 0.05]","['raccoon.n.02', 'animal.n.01', 'kitty.n.04', 'bear.n.01', 'dog.n.01']"
late,0.041231837879879246,correct,rocket.n.01,"[0.19, 0.04, 0.04, 0.04, 0.03]","['ball.n.01', 'rocket.n.01', 'airplane.n.01', 'car.n.01', 'toy.n.03']"
late,0.26577143909651324,correct,short_pants.n.01,"[0.27, 0.23, 0.06, 0.02, 0.02]","['short_pants.n.01', 'shirt.n.01', 'trouser.n.01', 'diaper.n.01', 'shoe.n.01']"
late,0.45846405521524725,correct,strawberry.n.01,"[0.46, 0.1, 0.07, 0.04, 0.03]","['strawberry.n.01', 'apple.n.01', 'fruit.n.01', 'grape.n.01', 'orange.n.01']"
late,0.19515310192665833,correct,sweater.n.01,"[0.25, 0.2, 0.06, 0.05, 0.04]","['shirt.n.01', 'sweater.n.01', 'coat.n.01', 'hat.n.01', 'jacket.n.01']"
late,0.7205247851011762,correct,truck.n.01,"[0.72, 0.2, 0.01, 0.01, 0.01]","['truck.n.01', 'car.n.01', 'bus.n.01', 'bicycle.n.01', 'train.n.01']"
late,0.004749279001762928,correct,vest.n.01,"[0.33, 0.09, 0.07, 0.05, 0.04]","['shirt.n.01', 'jacket.n.01', 'sweater.n.01', 'coat.n.01', 'hat.n.01']"
late,0.5679027136708878,incorrect,beet.n.02,"[0.43, 0.16, 0.06, 0.05, 0.03]","['beet.n.02', 'carrot.n.03', 'apple.n.01', 'potato.n.01', 'bean.n.01']"
late,0.47458411486747465,incorrect,bus.n.01,"[0.53, 0.19, 0.1, 0.07, 0.01]","['bus.n.01', 'car.n.01', 'train.n.01', 'truck.n.01', 'bag.n.04']"
late,0.8796963152161995,incorrect,celery.n.02,"[0.12, 0.11, 0.11, 0.11, 0.07]","['celery.n.02', 'bean.n.01', 'apple.n.01', 'carrot.n.03', 'beet.n.02']"
late,0.6749208930096748,incorrect,elk.n.01,"[0.33, 0.14, 0.08, 0.07, 0.05]","['elk.n.01', 'deer.n.01', 'cow.n.01', 'animal.n.01', 'sheep.n.01']"
late,0.6439386286800015,incorrect,fox.n.01,"[0.36, 0.11, 0.08, 0.05, 0.04]","['fox.n.01', 'dog.n.01', 'animal.n.01', 'cat.n.01', 'kitty.n.04']"
late,0.746188502045332,incorrect,hippopotamus.n.01,"[0.25, 0.23, 0.12, 0.05, 0.03]","['hippopotamus.n.01', 'elephant.n.01', 'animal.n.01', 'hog.n.03', 'giraffe.n.01']"
late,0.7478654774001408,incorrect,motorcycle.n.01,"[0.33, 0.29, 0.25, 0.02, 0.01]","['car.n.01', 'bicycle.n.01', 'motorcycle.n.01', 'truck.n.01', 'wheel.n.01']"
late,0.7615371661968944,incorrect,raccoon.n.02,"[0.24, 0.17, 0.05, 0.05, 0.05]","['raccoon.n.02', 'animal.n.01', 'kitty.n.04', 'bear.n.01', 'dog.n.01']"
late,0.9587681621201207,incorrect,rocket.n.01,"[0.19, 0.04, 0.04, 0.04, 0.03]","['ball.n.01', 'rocket.n.01', 'airplane.n.01', 'car.n.01', 'toy.n.03']"
late,0.7342285609034868,incorrect,short_pants.n.01,"[0.27, 0.23, 0.06, 0.02, 0.02]","['short_pants.n.01', 'shirt.n.01', 'trouser.n.01', 'diaper.n.01', 'shoe.n.01']"
late,0.5415359447847528,incorrect,strawberry.n.01,"[0.46, 0.1, 0.07, 0.04, 0.03]","['strawberry.n.01', 'apple.n.01', 'fruit.n.01', 'grape.n.01', 'orange.n.01']"
late,0.8048468980733416,incorrect,sweater.n.01,"[0.25, 0.2, 0.06, 0.05, 0.04]","['shirt.n.01', 'sweater.n.01', 'coat.n.01', 'hat.n.01', 'jacket.n.01']"
late,0.27947521489882376,incorrect,truck.n.01,"[0.72, 0.2, 0.01, 0.01, 0.01]","['truck.n.01', 'car.n.01', 'bus.n.01', 'bicycle.n.01', 'train.n.01']"
late,0.9952507209982371,incorrect,vest.n.01,"[0.33, 0.09, 0.07, 0.05, 0.04]","['shirt.n.01', 'jacket.n.01', 'sweater.n.01', 'coat.n.01', 'hat.n.01']"
