group,probability,response,synset,top posts,top prods
early,0.49147458268761735,incorrect,orange.n.01,"[0.51, 0.2, 0.05, 0.04, 0.03]","['orange.n.01', 'apple.n.01', 'fruit.n.01', 'juice.n.01', 'banana.n.02']"
early,0.387834505340115,incorrect,shirt.n.01,"[0.61, 0.04, 0.03, 0.03, 0.03]","['shirt.n.01', 'trouser.n.01', 'jacket.n.01', 'short_pants.n.01', 'sweater.n.01']"
early,0.19890098399352174,incorrect,train.n.01,"[0.8, 0.06, 0.04, 0.01, 0.01]","['train.n.01', 'car.n.01', 'bus.n.01', 'truck.n.01', 'bicycle.n.01']"
early,0.4555186207265637,incorrect,trouser.n.01,"[0.54, 0.15, 0.03, 0.01, 0.01]","['trouser.n.01', 'shirt.n.01', 'short_pants.n.01', 'shoe.n.01', 'diaper.n.01']"
late,0.4549827369868363,correct,beet.n.02,"[0.45, 0.16, 0.05, 0.05, 0.03]","['beet.n.02', 'carrot.n.03', 'apple.n.01', 'potato.n.01', 'bean.n.01']"
late,0.5480904733464296,correct,bus.n.01,"[0.55, 0.19, 0.1, 0.07, 0.01]","['bus.n.01', 'car.n.01', 'train.n.01', 'truck.n.01', 'bag.n.04']"
late,0.13039162313913696,correct,celery.n.02,"[0.13, 0.12, 0.11, 0.11, 0.07]","['celery.n.02', 'bean.n.01', 'apple.n.01', 'carrot.n.03', 'beet.n.02']"
late,0.3484955569056597,correct,elk.n.01,"[0.35, 0.14, 0.08, 0.07, 0.04]","['elk.n.01', 'deer.n.01', 'cow.n.01', 'animal.n.01', 'sheep.n.01']"
late,0.38563622781245327,correct,fox.n.01,"[0.39, 0.11, 0.07, 0.05, 0.04]","['fox.n.01', 'dog.n.01', 'animal.n.01', 'cat.n.01', 'kitty.n.04']"
late,0.27393281696156124,correct,hippopotamus.n.01,"[0.27, 0.24, 0.11, 0.05, 0.03]","['hippopotamus.n.01', 'elephant.n.01', 'animal.n.01', 'hog.n.03', 'giraffe.n.01']"
late,0.26195138760297426,correct,motorcycle.n.01,"[0.33, 0.29, 0.26, 0.02, 0.01]","['car.n.01', 'bicycle.n.01', 'motorcycle.n.01', 'truck.n.01', 'wheel.n.01']"
late,0.261696401309486,correct,raccoon.n.02,"[0.26, 0.17, 0.05, 0.05, 0.04]","['raccoon.n.02', 'animal.n.01', 'kitty.n.04', 'bear.n.01', 'dog.n.01']"
late,0.04786372649944432,correct,rocket.n.01,"[0.2, 0.05, 0.04, 0.04, 0.03]","['ball.n.01', 'rocket.n.01', 'airplane.n.01', 'car.n.01', 'toy.n.03']"
late,0.28627871932940074,correct,short_pants.n.01,"[0.29, 0.24, 0.06, 0.02, 0.02]","['short_pants.n.01', 'shirt.n.01', 'trouser.n.01', 'diaper.n.01', 'dress.n.01']"
late,0.48698200211088855,correct,strawberry.n.01,"[0.49, 0.1, 0.07, 0.03, 0.03]","['strawberry.n.01', 'apple.n.01', 'fruit.n.01', 'grape.n.01', 'orange.n.01']"
late,0.20994343870749574,correct,sweater.n.01,"[0.26, 0.21, 0.06, 0.04, 0.04]","['shirt.n.01', 'sweater.n.01', 'coat.n.01', 'hat.n.01', 'jacket.n.01']"
late,0.7357388484237742,correct,truck.n.01,"[0.74, 0.19, 0.01, 0.01, 0.01]","['truck.n.01', 'car.n.01', 'bus.n.01', 'bicycle.n.01', 'train.n.01']"
late,0.005140537364112401,correct,vest.n.01,"[0.35, 0.09, 0.07, 0.05, 0.04]","['shirt.n.01', 'jacket.n.01', 'sweater.n.01', 'coat.n.01', 'hat.n.01']"
late,0.5450172630131638,incorrect,beet.n.02,"[0.45, 0.16, 0.05, 0.05, 0.03]","['beet.n.02', 'carrot.n.03', 'apple.n.01', 'potato.n.01', 'bean.n.01']"
