group,probability,response,synset,top posts,top prods
early,0.5671019736186054,incorrect,orange.n.01,"[0.43, 0.1, 0.08, 0.05, 0.04]","['orange.n.01', 'fruit.n.01', 'apple.n.01', 'melon.n.01', 'grape.n.01']"
early,0.6945824057029656,incorrect,shirt.n.01,"[0.31, 0.1, 0.08, 0.08, 0.07]","['shirt.n.01', 'vest.n.01', 'jean.n.01', 'sweater.n.01', 'short_pants.n.01']"
early,0.2995097565730992,incorrect,train.n.01,"[0.7, 0.08, 0.02, 0.01, 0.01]","['train.n.01', 'bus.n.01', 'car.n.01', 'baby_buggy.n.01', 'bicycle.n.01']"
early,0.5200594826067324,incorrect,trouser.n.01,"[0.48, 0.1, 0.07, 0.05, 0.02]","['trouser.n.01', 'jean.n.01', 'shirt.n.01', 'short_pants.n.01', 'sweater.n.01']"
late,0.4848447666129144,correct,beet.n.02,"[0.48, 0.14, 0.07, 0.05, 0.02]","['beet.n.02', 'carrot.n.03', 'celery.n.02', 'potato.n.01', 'bean.n.01']"
late,0.6920845636380557,correct,bus.n.01,"[0.69, 0.08, 0.04, 0.03, 0.01]","['bus.n.01', 'train.n.01', 'car.n.01', 'truck.n.01', 'baby_buggy.n.01']"
late,0.45432932740969856,correct,celery.n.02,"[0.45, 0.07, 0.07, 0.06, 0.05]","['celery.n.02', 'carrot.n.03', 'bean.n.01', 'beet.n.02', 'potato.n.01']"
late,0.5390358143776062,correct,elk.n.01,"[0.54, 0.24, 0.03, 0.02, 0.02]","['elk.n.01', 'deer.n.01', 'giraffe.n.01', 'sheep.n.01', 'cow.n.01']"
late,0.7031438081191189,correct,fox.n.01,"[0.7, 0.02, 0.02, 0.02, 0.02]","['fox.n.01', 'raccoon.n.02', 'wolf.n.01', 'squirrel.n.01', 'dog.n.01']"
late,0.6277144444567831,correct,hippopotamus.n.01,"[0.63, 0.1, 0.05, 0.02, 0.02]","['hippopotamus.n.01', 'elephant.n.01', 'giraffe.n.01', 'hog.n.03', 'animal.n.01']"
late,0.4383627152148725,correct,motorcycle.n.01,"[0.44, 0.21, 0.08, 0.07, 0.04]","['motorcycle.n.01', 'bicycle.n.01', 'tricycle.n.01', 'car.n.01', 'helicopter.n.01']"
late,0.6805674551294142,correct,raccoon.n.02,"[0.68, 0.05, 0.02, 0.02, 0.02]","['raccoon.n.02', 'squirrel.n.01', 'fox.n.01', 'animal.n.01', 'mouse.n.01']"
late,0.7249228644226401,correct,rocket.n.01,"[0.72, 0.01, 0.01, 0.01, 0.01]","['rocket.n.01', 'airplane.n.01', 'ball.n.01', 'helicopter.n.01', 'boat.n.01']"
late,0.40837784405902683,correct,short_pants.n.01,"[0.41, 0.09, 0.06, 0.05, 0.04]","['short_pants.n.01', 'shirt.n.01', 'jean.n.01', 'underpants.n.01', 'trouser.n.01']"
late,0.5608791476774551,correct,strawberry.n.01,"[0.56, 0.08, 0.04, 0.03, 0.03]","['strawberry.n.01', 'fruit.n.01', 'melon.n.01', 'plum.n.02', 'yogurt.n.01']"
late,0.3403592180844113,correct,sweater.n.01,"[0.34, 0.11, 0.09, 0.06, 0.06]","['sweater.n.01', 'vest.n.01', 'shirt.n.01', 'scarf.n.01', 'coat.n.01']"
