model,uniform bic,frequency bic,multiple uniform bic,multiple frequency bic
baseline,2717.3927898357424,2470.8168819546,2717.3927898357424,2470.8168819546
categorical,2092.8145230558416,1863.041740083485,2092.8283861356176,1863.0461706249125
visual,2041.4779840146568,1816.6613585523105,2041.491410159687,1816.66057640419
predicate,2071.8598607988097,1852.7524210099264,2071.866445713895,1852.7728207328882
cat. + vis.,1903.556129962034,1682.0655006058514,1869.2135501091088,1647.6961476192275
cat. + pred.,1870.7097047992218,1646.3808069478373,1874.214941675597,1649.978617507204
vis. + pred.,1947.3726189986244,1731.7109225638142,1904.04468767057,1689.6118674529907
all features,1812.0526278704308,1592.4484855289595,1799.1287270249386,1582.59906017176
